,Uj0,"Qtot,",omega
0,3.6825 +/- 0.0009,0.2888 +/- 0.0,0.544 +/- 0.0
1,3.7502 +/- 0.0058,0.4101 +/- 0.0403,1.232 +/- 0.0676
2,3.9084 +/- 0.0,0.2759 +/- 0.0169,2.496 +/- 0.0928
3,4.252 +/- 0.0113,0.3859 +/- 0.0407,3.5416 +/- 0.4358
4,4.0117 +/- 0.0066,0.2453 +/- 0.0192,1.8397 +/- 0.0006
5,4.1395 +/- 0.0022,0.1361 +/- 0.0,0.9375 +/- 0.019
6,0.0699 +/- 0.0021,1.2921 +/- 0.0285,0.1345 +/- 0.0
7,0.1048 +/- 0.0024,0.5366 +/- 0.0072,0.1251 +/- 0.0
8,0.1298 +/- 0.0019,0.0541 +/- 0.0042,0.1794 +/- 0.0224
9,0.1515 +/- 0.0008,0.067 +/- 0.0061,0.2734 +/- 0.0
10,0.1784 +/- 0.0007,0.1546 +/- 0.0067,0.1632 +/- 0.012
11,0.3299 +/- 0.0115,0.0972 +/- 0.0043,6.7951 +/- 0.0216
