,Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Current(A),Voltage(V),DPt Time,Temp 1,EV Temp,Unnamed: 10
127909,301,31,1132502.33,0.07,0.0,-0.00015,4.19677,06/19/2019 1:14:54 PM,27.33,0.0,
127910,301,31,1132512.33,10.07,0.0002,-0.07499,4.19219,06/19/2019 1:15:04 PM,27.28,0.0,
127911,301,31,1132522.33,20.07,0.00041,-0.075,4.19081,06/19/2019 1:15:14 PM,27.35,0.0,
127912,301,31,1132532.33,30.07,0.00062,-0.075,4.18975,06/19/2019 1:15:24 PM,27.3,0.0,
127913,301,31,1132542.33,40.07,0.0008300000000000001,-0.07499,4.18898,06/19/2019 1:15:34 PM,27.35,0.0,
127914,301,31,1132552.33,50.07,0.0010400000000000001,-0.07499,4.18837,06/19/2019 1:15:44 PM,27.3,0.0,
127915,301,31,1132562.33,60.07,0.00124,-0.075,4.18761,06/19/2019 1:15:54 PM,27.33,0.0,
127916,301,31,1132572.33,70.07,0.00145,-0.075,4.1873,06/19/2019 1:16:04 PM,27.23,0.0,
127917,301,31,1132582.33,80.07,0.0016600000000000002,-0.07499,4.18654,06/19/2019 1:16:14 PM,27.25,0.0,
127918,301,31,1132592.33,90.07,0.00187,-0.075,4.18624,06/19/2019 1:16:24 PM,27.25,0.0,
127919,301,31,1132602.33,100.07,0.0020800000000000003,-0.075,4.18578,06/19/2019 1:16:34 PM,27.28,0.0,
127920,301,31,1132612.33,110.07,0.00229,-0.07499,4.18532,06/19/2019 1:16:44 PM,27.26,0.0,
127921,301,31,1132622.33,120.07,0.00249,-0.07499,4.18471,06/19/2019 1:16:54 PM,27.26,0.0,
127922,301,31,1132632.33,130.07,0.0027,-0.075,4.1841,06/19/2019 1:17:04 PM,27.3,0.0,
127923,301,31,1132642.33,140.07,0.0029100000000000003,-0.075,4.18379,06/19/2019 1:17:14 PM,27.26,0.0,
127924,301,31,1132652.33,150.07,0.00312,-0.075,4.18349,06/19/2019 1:17:24 PM,27.26,0.0,
127925,301,31,1132662.33,160.07,0.0033299999999999996,-0.075,4.1830300000000005,06/19/2019 1:17:34 PM,27.23,0.0,
127926,301,31,1132672.33,170.07,0.0035399999999999997,-0.07501000000000001,4.18242,06/19/2019 1:17:44 PM,27.25,0.0,
127927,301,31,1132682.33,180.07,0.00374,-0.075,4.18227,06/19/2019 1:17:54 PM,27.2,0.0,
127928,301,31,1132692.33,190.07,0.00395,-0.07501000000000001,4.18181,06/19/2019 1:18:04 PM,27.26,0.0,
127929,301,31,1132702.33,200.07,0.0041600000000000005,-0.075,4.18166,06/19/2019 1:18:14 PM,27.23,0.0,
127930,301,31,1132712.33,210.07,0.004370000000000001,-0.07499,4.1809,06/19/2019 1:18:24 PM,27.25,0.0,
127931,301,31,1132722.33,220.07,0.00458,-0.075,4.18105,06/19/2019 1:18:34 PM,27.23,0.0,
127932,301,31,1132732.33,230.07,0.00479,-0.075,4.1805900000000005,06/19/2019 1:18:44 PM,27.23,0.0,
127933,301,31,1132742.33,240.07,0.00499,-0.075,4.18013,06/19/2019 1:18:54 PM,27.23,0.0,
127934,301,31,1132752.33,250.07,0.0052,-0.075,4.17983,06/19/2019 1:19:04 PM,27.25,0.0,
127935,301,31,1132762.33,260.07,0.00541,-0.075,4.17952,06/19/2019 1:19:14 PM,27.21,0.0,
127936,301,31,1132772.33,270.07,0.00562,-0.07499,4.17952,06/19/2019 1:19:24 PM,27.23,0.0,
127937,301,31,1132782.33,280.07,0.00583,-0.075,4.17861,06/19/2019 1:19:34 PM,27.26,0.0,
127938,301,31,1132792.33,290.07,0.00604,-0.075,4.17845,06/19/2019 1:19:44 PM,27.23,0.0,
127939,301,31,1132802.33,300.07,0.00624,-0.075,4.1783,06/19/2019 1:19:54 PM,27.26,0.0,
127940,301,31,1132812.33,310.07,0.00645,-0.075,4.17784,06/19/2019 1:20:04 PM,27.25,0.0,
127941,301,31,1132822.33,320.07,0.006659999999999999,-0.075,4.1775400000000005,06/19/2019 1:20:14 PM,27.31,0.0,
127942,301,31,1132832.33,330.07,0.00687,-0.075,4.17739,06/19/2019 1:20:24 PM,27.23,0.0,
127943,301,31,1132842.33,340.07,0.0070799999999999995,-0.07499,4.17708,06/19/2019 1:20:34 PM,27.31,0.0,
127944,301,31,1132852.33,350.07,0.0072900000000000005,-0.075,4.17662,06/19/2019 1:20:44 PM,27.28,0.0,
127945,301,31,1132862.33,360.07,0.007490000000000001,-0.075,4.17662,06/19/2019 1:20:54 PM,27.3,0.0,
127946,301,31,1132872.33,370.07,0.0077,-0.075,4.17617,06/19/2019 1:21:04 PM,27.26,0.0,
127947,301,31,1132882.33,380.07,0.007909999999999999,-0.075,4.17586,06/19/2019 1:21:14 PM,27.23,0.0,
127948,301,31,1132892.33,390.07,0.00812,-0.075,4.17556,06/19/2019 1:21:24 PM,27.21,0.0,
127949,301,31,1132902.33,400.07,0.008329999999999999,-0.07499,4.1754,06/19/2019 1:21:34 PM,27.25,0.0,
127950,301,31,1132912.33,410.07,0.00854,-0.075,4.17494,06/19/2019 1:21:44 PM,27.25,0.0,
127951,301,31,1132922.33,420.07,0.008740000000000001,-0.07499,4.17464,06/19/2019 1:21:54 PM,27.25,0.0,
127952,301,31,1132932.33,430.07,0.00895,-0.075,4.1744900000000005,06/19/2019 1:22:04 PM,27.26,0.0,
127953,301,31,1132942.33,440.07,0.00916,-0.075,4.174180000000001,06/19/2019 1:22:14 PM,27.25,0.0,
127954,301,31,1132952.33,450.07,0.00937,-0.075,4.173719999999999,06/19/2019 1:22:24 PM,27.26,0.0,
