,Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Current(A),Voltage(V),DPt Time,Temp 1,EV Temp,Unnamed: 10
121151,301,29,1064952.03,0.02,0.0,2.9999999999999997e-05,2.5547400000000002,06/18/2019 6:29:04 PM,27.4,0.0,
121152,301,29,1064962.03,10.02,0.0002,0.07499,2.62722,06/18/2019 6:29:14 PM,27.43,0.0,
121153,301,29,1064972.03,20.02,0.00041,0.07499,2.66491,06/18/2019 6:29:24 PM,27.36,0.0,
121154,301,29,1064982.03,30.02,0.00062,0.075,2.69329,06/18/2019 6:29:34 PM,27.46,0.0,
121155,301,29,1064992.03,40.02,0.0008300000000000001,0.075,2.7174,06/18/2019 6:29:44 PM,27.43,0.0,
121156,301,29,1065002.03,50.02,0.00103,0.075,2.73846,06/18/2019 6:29:53 PM,27.46,0.0,
121157,301,29,1065012.03,60.02,0.00124,0.075,2.75753,06/18/2019 6:30:04 PM,27.41,0.0,
121158,301,29,1065022.03,70.02,0.00145,0.07499,2.77523,06/18/2019 6:30:14 PM,27.45,0.0,
121159,301,29,1065032.03,80.02,0.0016600000000000002,0.075,2.79248,06/18/2019 6:30:24 PM,27.41,0.0,
121160,301,29,1065042.03,90.02,0.00187,0.075,2.80896,06/18/2019 6:30:33 PM,27.46,0.0,
121161,301,29,1065052.03,100.02,0.0020800000000000003,0.075,2.82452,06/18/2019 6:30:43 PM,27.43,0.0,
121162,301,29,1065062.03,110.02,0.00228,0.07499,2.84009,06/18/2019 6:30:54 PM,27.45,0.0,
121163,301,29,1065072.03,120.02,0.00249,0.075,2.85534,06/18/2019 6:31:04 PM,27.41,0.0,
121164,301,29,1065082.03,130.02,0.0027,0.075,2.86954,06/18/2019 6:31:14 PM,27.43,0.0,
121165,301,29,1065092.03,140.02,0.0029100000000000003,0.075,2.88312,06/18/2019 6:31:24 PM,27.43,0.0,
121166,301,29,1065102.03,150.02,0.00312,0.075,2.8963900000000002,06/18/2019 6:31:34 PM,27.41,0.0,
121167,301,29,1065112.03,160.02,0.0033299999999999996,0.07501000000000001,2.90829,06/18/2019 6:31:43 PM,27.41,0.0,
121168,301,29,1065122.03,170.02,0.0035299999999999997,0.075,2.91974,06/18/2019 6:31:53 PM,27.4,0.0,
121169,301,29,1065132.03,180.02,0.00374,0.075,2.93027,06/18/2019 6:32:03 PM,27.45,0.0,
121170,301,29,1065142.03,190.02,0.00395,0.07499,2.93942,06/18/2019 6:32:13 PM,27.43,0.0,
121171,301,29,1065152.03,200.02,0.0041600000000000005,0.07499,2.94797,06/18/2019 6:32:24 PM,27.43,0.0,
121172,301,29,1065162.03,210.02,0.004370000000000001,0.075,2.95605,06/18/2019 6:32:34 PM,27.36,0.0,
121173,301,29,1065172.03,220.02,0.00458,0.075,2.96323,06/18/2019 6:32:44 PM,27.41,0.0,
