,Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Current(A),Voltage(V),DPT Time
21489,1,14,  1d 00:23:58.18,  0d 00:00:0.06,0,0,2.561,8/18/2020 19:45
21490,1,14,  1d 00:24:8.18,  0d 00:00:10.06,0,0.075,2.648,8/18/2020 19:45
21491,1,14,  1d 00:24:18.18,  0d 00:00:20.06,0,0.075,2.691,8/18/2020 19:45
21492,1,14,  1d 00:24:28.18,  0d 00:00:30.06,0.001,0.075,2.721,8/18/2020 19:45
21493,1,14,  1d 00:24:38.18,  0d 00:00:40.06,0.001,0.075,2.746,8/18/2020 19:46
21494,1,14,  1d 00:24:48.18,  0d 00:00:50.06,0.001,0.075,2.767,8/18/2020 19:46
21495,1,14,  1d 00:24:58.18,  0d 00:01:0.06,0.001,0.075,2.787,8/18/2020 19:46
21496,1,14,  1d 00:25:8.18,  0d 00:01:10.06,0.001,0.075,2.806,8/18/2020 19:46
21497,1,14,  1d 00:25:18.18,  0d 00:01:20.06,0.002,0.075,2.824,8/18/2020 19:46
21498,1,14,  1d 00:25:28.18,  0d 00:01:30.06,0.002,0.075,2.841,8/18/2020 19:46
21499,1,14,  1d 00:25:38.18,  0d 00:01:40.06,0.002,0.075,2.857,8/18/2020 19:47
21500,1,14,  1d 00:25:48.18,  0d 00:01:50.06,0.002,0.075,2.873,8/18/2020 19:47
21501,1,14,  1d 00:25:58.18,  0d 00:02:0.06,0.002,0.075,2.887,8/18/2020 19:47
21502,1,14,  1d 00:26:8.18,  0d 00:02:10.06,0.003,0.075,2.9,8/18/2020 19:47
21503,1,14,  1d 00:26:18.18,  0d 00:02:20.06,0.003,0.075,2.912,8/18/2020 19:47
21504,1,14,  1d 00:26:28.18,  0d 00:02:30.06,0.003,0.075,2.922,8/18/2020 19:47
21505,1,14,  1d 00:26:38.18,  0d 00:02:40.06,0.003,0.075,2.932,8/18/2020 19:48
21506,1,14,  1d 00:26:48.18,  0d 00:02:50.06,0.004,0.075,2.94,8/18/2020 19:48
21507,1,14,  1d 00:26:58.18,  0d 00:03:0.06,0.004,0.075,2.948,8/18/2020 19:48
21508,1,14,  1d 00:27:8.18,  0d 00:03:10.06,0.004,0.075,2.955,8/18/2020 19:48
21509,1,14,  1d 00:27:18.18,  0d 00:03:20.06,0.004,0.075,2.962,8/18/2020 19:48
21510,1,14,  1d 00:27:28.18,  0d 00:03:30.06,0.004,0.075,2.968,8/18/2020 19:48
21511,1,14,  1d 00:27:38.18,  0d 00:03:40.06,0.005,0.075,2.973,8/18/2020 19:49
21512,1,14,  1d 00:27:48.18,  0d 00:03:50.06,0.005,0.075,2.979,8/18/2020 19:49
21513,1,14,  1d 00:27:58.18,  0d 00:04:0.06,0.005,0.075,2.984,8/18/2020 19:49
21514,1,14,  1d 00:28:8.18,  0d 00:04:10.06,0.005,0.075,2.989,8/18/2020 19:49
21515,1,14,  1d 00:28:18.18,  0d 00:04:20.06,0.005,0.075,2.994,8/18/2020 19:49
21516,1,14,  1d 00:28:28.18,  0d 00:04:30.06,0.006,0.075,2.999,8/18/2020 19:49
21517,1,14,  1d 00:28:38.18,  0d 00:04:40.06,0.006,0.075,3.003,8/18/2020 19:50
21518,1,14,  1d 00:28:48.18,  0d 00:04:50.06,0.006,0.075,3.008,8/18/2020 19:50
21519,1,14,  1d 00:28:58.18,  0d 00:05:0.06,0.006,0.075,3.012,8/18/2020 19:50
21520,1,14,  1d 00:29:8.18,  0d 00:05:10.06,0.006,0.075,3.016,8/18/2020 19:50
21521,1,14,  1d 00:29:18.18,  0d 00:05:20.06,0.007,0.075,3.02,8/18/2020 19:50
21522,1,14,  1d 00:29:28.18,  0d 00:05:30.06,0.007,0.075,3.024,8/18/2020 19:50
21523,1,14,  1d 00:29:38.18,  0d 00:05:40.06,0.007,0.075,3.029,8/18/2020 19:51
21524,1,14,  1d 00:29:48.18,  0d 00:05:50.06,0.007,0.075,3.033,8/18/2020 19:51
21525,1,14,  1d 00:29:58.18,  0d 00:06:0.06,0.007,0.075,3.036,8/18/2020 19:51
21526,1,14,  1d 00:30:8.18,  0d 00:06:10.06,0.008,0.075,3.04,8/18/2020 19:51
21527,1,14,  1d 00:30:18.18,  0d 00:06:20.06,0.008,0.075,3.044,8/18/2020 19:51
21528,1,14,  1d 00:30:28.18,  0d 00:06:30.06,0.008,0.075,3.047,8/18/2020 19:51
21529,1,14,  1d 00:30:38.18,  0d 00:06:40.06,0.008,0.075,3.051,8/18/2020 19:52
21530,1,14,  1d 00:30:48.18,  0d 00:06:50.06,0.009,0.075,3.054,8/18/2020 19:52
21531,1,14,  1d 00:30:58.18,  0d 00:07:0.06,0.009,0.075,3.058,8/18/2020 19:52
21532,1,14,  1d 00:31:8.18,  0d 00:07:10.06,0.009,0.075,3.061,8/18/2020 19:52
21533,1,14,  1d 00:31:18.18,  0d 00:07:20.06,0.009,0.075,3.064,8/18/2020 19:52
21534,1,14,  1d 00:31:28.18,  0d 00:07:30.06,0.009,0.075,3.068,8/18/2020 19:52
21535,1,14,  1d 00:31:38.18,  0d 00:07:40.06,0.01,0.075,3.071,8/18/2020 19:53
21536,1,14,  1d 00:31:48.18,  0d 00:07:50.06,0.01,0.075,3.074,8/18/2020 19:53
21537,1,14,  1d 00:31:58.18,  0d 00:08:0.06,0.01,0.075,3.077,8/18/2020 19:53
21538,1,14,  1d 00:32:8.18,  0d 00:08:10.06,0.01,0.075,3.08,8/18/2020 19:53
21539,1,14,  1d 00:32:18.18,  0d 00:08:20.06,0.01,0.075,3.083,8/18/2020 19:53
21540,1,14,  1d 00:32:28.18,  0d 00:08:30.06,0.011,0.075,3.086,8/18/2020 19:53
21541,1,14,  1d 00:32:38.18,  0d 00:08:40.06,0.011,0.075,3.089,8/18/2020 19:54
21542,1,14,  1d 00:32:48.18,  0d 00:08:50.06,0.011,0.075,3.092,8/18/2020 19:54
21543,1,14,  1d 00:32:58.18,  0d 00:09:0.06,0.011,0.075,3.095,8/18/2020 19:54
21544,1,14,  1d 00:33:8.18,  0d 00:09:10.06,0.011,0.075,3.098,8/18/2020 19:54
21545,1,14,  1d 00:33:18.18,  0d 00:09:20.06,0.012,0.075,3.101,8/18/2020 19:54
21546,1,14,  1d 00:33:28.18,  0d 00:09:30.06,0.012,0.075,3.104,8/18/2020 19:54
21547,1,14,  1d 00:33:38.18,  0d 00:09:40.06,0.012,0.075,3.106,8/18/2020 19:55
21548,1,14,  1d 00:33:48.18,  0d 00:09:50.06,0.012,0.075,3.109,8/18/2020 19:55
21549,1,14,  1d 00:33:58.18,  0d 00:10:0.06,0.012,0.075,3.112,8/18/2020 19:55
21550,1,14,  1d 00:34:8.18,  0d 00:10:10.06,0.013,0.075,3.115,8/18/2020 19:55
21551,1,14,  1d 00:34:18.18,  0d 00:10:20.06,0.013,0.075,3.117,8/18/2020 19:55
21552,1,14,  1d 00:34:28.18,  0d 00:10:30.06,0.013,0.075,3.12,8/18/2020 19:55
21553,1,14,  1d 00:34:38.18,  0d 00:10:40.06,0.013,0.075,3.122,8/18/2020 19:56
21554,1,14,  1d 00:34:48.18,  0d 00:10:50.06,0.014,0.075,3.125,8/18/2020 19:56
21555,1,14,  1d 00:34:58.18,  0d 00:11:0.06,0.014,0.075,3.127,8/18/2020 19:56
21556,1,14,  1d 00:35:8.18,  0d 00:11:10.06,0.014,0.075,3.13,8/18/2020 19:56
21557,1,14,  1d 00:35:18.18,  0d 00:11:20.06,0.014,0.075,3.133,8/18/2020 19:56
21558,1,14,  1d 00:35:28.18,  0d 00:11:30.06,0.014,0.075,3.135,8/18/2020 19:56
21559,1,14,  1d 00:35:38.18,  0d 00:11:40.06,0.015,0.075,3.137,8/18/2020 19:57
21560,1,14,  1d 00:35:48.18,  0d 00:11:50.06,0.015,0.075,3.139,8/18/2020 19:57
21561,1,14,  1d 00:35:58.18,  0d 00:12:0.06,0.015,0.075,3.142,8/18/2020 19:57
21562,1,14,  1d 00:36:8.18,  0d 00:12:10.06,0.015,0.075,3.145,8/18/2020 19:57
21563,1,14,  1d 00:36:18.18,  0d 00:12:20.06,0.015,0.075,3.147,8/18/2020 19:57
