,Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Current(A),Voltage(V),DPT Time
14215,1,16,  1d 16:01:34.16,  0d 00:00:0.06,0,0,4.197,8/10/2020 10:54
14216,1,16,  1d 16:01:44.16,  0d 00:00:10.06,0,0.075,4.194,8/10/2020 10:54
14217,1,16,  1d 16:01:54.16,  0d 00:00:20.06,0,0.075,4.193,8/10/2020 10:54
14218,1,16,  1d 16:02:4.16,  0d 00:00:30.06,0.001,0.075,4.193,8/10/2020 10:55
14219,1,16,  1d 16:02:14.16,  0d 00:00:40.06,0.001,0.075,4.192,8/10/2020 10:55
14220,1,16,  1d 16:02:24.16,  0d 00:00:50.06,0.001,0.075,4.192,8/10/2020 10:55
14221,1,16,  1d 16:02:34.16,  0d 00:01:0.06,0.001,0.075,4.191,8/10/2020 10:55
14222,1,16,  1d 16:02:44.16,  0d 00:01:10.06,0.001,0.075,4.19,8/10/2020 10:55
14223,1,16,  1d 16:02:54.16,  0d 00:01:20.06,0.002,0.075,4.19,8/10/2020 10:55
14224,1,16,  1d 16:03:4.16,  0d 00:01:30.06,0.002,0.075,4.189,8/10/2020 10:56
14225,1,16,  1d 16:03:14.16,  0d 00:01:40.06,0.002,0.075,4.189,8/10/2020 10:56
14226,1,16,  1d 16:03:24.16,  0d 00:01:50.06,0.002,0.075,4.189,8/10/2020 10:56
14227,1,16,  1d 16:03:34.16,  0d 00:02:0.06,0.002,0.075,4.188,8/10/2020 10:56
14228,1,16,  1d 16:03:44.16,  0d 00:02:10.06,0.003,0.075,4.189,8/10/2020 10:56
14229,1,16,  1d 16:03:54.16,  0d 00:02:20.06,0.003,0.075,4.188,8/10/2020 10:56
14230,1,16,  1d 16:04:4.16,  0d 00:02:30.06,0.003,0.075,4.188,8/10/2020 10:57
14231,1,16,  1d 16:04:14.16,  0d 00:02:40.06,0.003,0.075,4.187,8/10/2020 10:57
14232,1,16,  1d 16:04:24.16,  0d 00:02:50.06,0.004,0.075,4.187,8/10/2020 10:57
14233,1,16,  1d 16:04:34.16,  0d 00:03:0.06,0.004,0.075,4.187,8/10/2020 10:57
14234,1,16,  1d 16:04:44.16,  0d 00:03:10.06,0.004,0.075,4.186,8/10/2020 10:57
14235,1,16,  1d 16:04:54.16,  0d 00:03:20.06,0.004,0.075,4.186,8/10/2020 10:57
14236,1,16,  1d 16:05:4.16,  0d 00:03:30.06,0.004,0.075,4.185,8/10/2020 10:58
14237,1,16,  1d 16:05:14.16,  0d 00:03:40.06,0.005,0.075,4.185,8/10/2020 10:58
14238,1,16,  1d 16:05:24.16,  0d 00:03:50.06,0.005,0.075,4.185,8/10/2020 10:58
14239,1,16,  1d 16:05:34.16,  0d 00:04:0.06,0.005,0.075,4.185,8/10/2020 10:58
14240,1,16,  1d 16:05:44.16,  0d 00:04:10.06,0.005,0.075,4.185,8/10/2020 10:58
14241,1,16,  1d 16:05:54.16,  0d 00:04:20.06,0.005,0.075,4.184,8/10/2020 10:58
14242,1,16,  1d 16:06:4.16,  0d 00:04:30.06,0.006,0.075,4.184,8/10/2020 10:59
14243,1,16,  1d 16:06:14.16,  0d 00:04:40.06,0.006,0.075,4.183,8/10/2020 10:59
14244,1,16,  1d 16:06:24.16,  0d 00:04:50.06,0.006,0.075,4.183,8/10/2020 10:59
14245,1,16,  1d 16:06:34.16,  0d 00:05:0.06,0.006,0.075,4.183,8/10/2020 10:59
14246,1,16,  1d 16:06:44.16,  0d 00:05:10.06,0.006,0.075,4.182,8/10/2020 10:59
14247,1,16,  1d 16:06:54.16,  0d 00:05:20.06,0.007,0.075,4.182,8/10/2020 10:59
14248,1,16,  1d 16:07:4.16,  0d 00:05:30.06,0.007,0.075,4.182,8/10/2020 11:00
14249,1,16,  1d 16:07:14.16,  0d 00:05:40.06,0.007,0.075,4.182,8/10/2020 11:00
14250,1,16,  1d 16:07:24.16,  0d 00:05:50.06,0.007,0.075,4.181,8/10/2020 11:00
14251,1,16,  1d 16:07:34.16,  0d 00:06:0.06,0.007,0.075,4.181,8/10/2020 11:00
14252,1,16,  1d 16:07:44.16,  0d 00:06:10.06,0.008,0.075,4.181,8/10/2020 11:00
14253,1,16,  1d 16:07:54.16,  0d 00:06:20.06,0.008,0.075,4.181,8/10/2020 11:00
14254,1,16,  1d 16:08:4.16,  0d 00:06:30.06,0.008,0.075,4.18,8/10/2020 11:01
14255,1,16,  1d 16:08:14.16,  0d 00:06:40.06,0.008,0.075,4.18,8/10/2020 11:01
