,Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Current(A),Voltage(V),DPt Time,Temp 1,EV Temp,Unnamed: 10
121288,301,29,1066130.29,0.07,0.0,0.00015,2.55398,06/18/2019 6:49:06 PM,27.03,0.0,
121289,301,29,1066140.29,10.07,0.0002,0.075,2.6263099999999997,06/18/2019 6:49:16 PM,27.07,0.0,
121290,301,29,1066150.29,20.07,0.00041,0.075,2.66415,06/18/2019 6:49:26 PM,27.05,0.0,
121291,301,29,1066160.29,30.07,0.00062,0.07499,2.69253,06/18/2019 6:49:36 PM,27.05,0.0,
121292,301,29,1066170.29,40.07,0.0008300000000000001,0.07501000000000001,2.71664,06/18/2019 6:49:46 PM,27.05,0.0,
121293,301,29,1066180.29,50.07,0.0010400000000000001,0.075,2.738,06/18/2019 6:49:56 PM,27.03,0.0,
121294,301,29,1066190.29,60.07,0.00124,0.075,2.75677,06/18/2019 6:50:06 PM,27.03,0.0,
121295,301,29,1066200.29,70.07,0.00145,0.07499,2.77478,06/18/2019 6:50:16 PM,27.05,0.0,
121296,301,29,1066210.29,80.07,0.0016600000000000002,0.07499,2.79217,06/18/2019 6:50:26 PM,27.03,0.0,
121297,301,29,1066220.29,90.07,0.00187,0.075,2.80819,06/18/2019 6:50:36 PM,27.05,0.0,
121298,301,29,1066230.29,100.07,0.0020800000000000003,0.075,2.82422,06/18/2019 6:50:46 PM,27.02,0.0,
121299,301,29,1066240.29,110.07,0.00229,0.075,2.84009,06/18/2019 6:50:56 PM,27.05,0.0,
121300,301,29,1066250.29,120.07,0.00249,0.075,2.85534,06/18/2019 6:51:06 PM,27.03,0.0,
121301,301,29,1066260.29,130.07,0.0027,0.075,2.8696900000000003,06/18/2019 6:51:16 PM,27.05,0.0,
121302,301,29,1066270.29,140.07,0.0029100000000000003,0.07499,2.88327,06/18/2019 6:51:26 PM,27.03,0.0,
