,Cyc#,Step,TestTime(s),StepTime(s),Capacity(Ah),Current(A),Voltage(V),DPT Time
7112,1,14,  0d 20:18:11.56,  0d 00:00:0.06,0,0,2.562,8/9/2020 15:11
7113,1,14,  0d 20:18:21.56,  0d 00:00:10.06,0,0.075,2.648,8/9/2020 15:11
7114,1,14,  0d 20:18:31.56,  0d 00:00:20.06,0,0.075,2.691,8/9/2020 15:11
7115,1,14,  0d 20:18:41.56,  0d 00:00:30.06,0.001,0.075,2.722,8/9/2020 15:11
7116,1,14,  0d 20:18:51.56,  0d 00:00:40.06,0.001,0.075,2.746,8/9/2020 15:11
7117,1,14,  0d 20:19:1.56,  0d 00:00:50.06,0.001,0.075,2.768,8/9/2020 15:12
7118,1,14,  0d 20:19:11.56,  0d 00:01:0.06,0.001,0.075,2.788,8/9/2020 15:12
7119,1,14,  0d 20:19:21.56,  0d 00:01:10.06,0.001,0.075,2.807,8/9/2020 15:12
7120,1,14,  0d 20:19:31.56,  0d 00:01:20.06,0.002,0.075,2.824,8/9/2020 15:12
7121,1,14,  0d 20:19:41.56,  0d 00:01:30.06,0.002,0.075,2.842,8/9/2020 15:12
7122,1,14,  0d 20:19:51.56,  0d 00:01:40.06,0.002,0.075,2.858,8/9/2020 15:12
7123,1,14,  0d 20:20:1.56,  0d 00:01:50.06,0.002,0.075,2.874,8/9/2020 15:13
7124,1,14,  0d 20:20:11.56,  0d 00:02:0.06,0.002,0.075,2.888,8/9/2020 15:13
7125,1,14,  0d 20:20:21.56,  0d 00:02:10.06,0.003,0.075,2.901,8/9/2020 15:13
7126,1,14,  0d 20:20:31.56,  0d 00:02:20.06,0.003,0.075,2.912,8/9/2020 15:13
7127,1,14,  0d 20:20:41.56,  0d 00:02:30.06,0.003,0.075,2.923,8/9/2020 15:13
7128,1,14,  0d 20:20:51.56,  0d 00:02:40.06,0.003,0.075,2.932,8/9/2020 15:13
7129,1,14,  0d 20:21:1.56,  0d 00:02:50.06,0.004,0.075,2.941,8/9/2020 15:14
7130,1,14,  0d 20:21:11.56,  0d 00:03:0.06,0.004,0.075,2.949,8/9/2020 15:14
7131,1,14,  0d 20:21:21.56,  0d 00:03:10.06,0.004,0.075,2.956,8/9/2020 15:14
7132,1,14,  0d 20:21:31.56,  0d 00:03:20.06,0.004,0.075,2.962,8/9/2020 15:14
7133,1,14,  0d 20:21:41.56,  0d 00:03:30.06,0.004,0.075,2.968,8/9/2020 15:14
7134,1,14,  0d 20:21:51.56,  0d 00:03:40.06,0.005,0.075,2.974,8/9/2020 15:14
7135,1,14,  0d 20:22:1.56,  0d 00:03:50.06,0.005,0.075,2.98,8/9/2020 15:15
7136,1,14,  0d 20:22:11.56,  0d 00:04:0.06,0.005,0.075,2.985,8/9/2020 15:15
7137,1,14,  0d 20:22:21.56,  0d 00:04:10.06,0.005,0.075,2.99,8/9/2020 15:15
7138,1,14,  0d 20:22:31.56,  0d 00:04:20.06,0.005,0.075,2.995,8/9/2020 15:15
7139,1,14,  0d 20:22:41.56,  0d 00:04:30.06,0.006,0.075,2.999,8/9/2020 15:15
7140,1,14,  0d 20:22:51.56,  0d 00:04:40.06,0.006,0.075,3.004,8/9/2020 15:15
7141,1,14,  0d 20:23:1.56,  0d 00:04:50.06,0.006,0.075,3.008,8/9/2020 15:16
7142,1,14,  0d 20:23:11.56,  0d 00:05:0.06,0.006,0.075,3.013,8/9/2020 15:16
7143,1,14,  0d 20:23:21.56,  0d 00:05:10.06,0.006,0.075,3.017,8/9/2020 15:16
7144,1,14,  0d 20:23:31.56,  0d 00:05:20.06,0.007,0.075,3.021,8/9/2020 15:16
7145,1,14,  0d 20:23:41.56,  0d 00:05:30.06,0.007,0.075,3.025,8/9/2020 15:16
7146,1,14,  0d 20:23:51.56,  0d 00:05:40.06,0.007,0.075,3.029,8/9/2020 15:16
7147,1,14,  0d 20:24:1.56,  0d 00:05:50.06,0.007,0.075,3.033,8/9/2020 15:17
7148,1,14,  0d 20:24:11.56,  0d 00:06:0.06,0.007,0.075,3.037,8/9/2020 15:17
7149,1,14,  0d 20:24:21.56,  0d 00:06:10.06,0.008,0.075,3.041,8/9/2020 15:17
7150,1,14,  0d 20:24:31.56,  0d 00:06:20.06,0.008,0.075,3.044,8/9/2020 15:17
7151,1,14,  0d 20:24:41.56,  0d 00:06:30.06,0.008,0.075,3.048,8/9/2020 15:17
7152,1,14,  0d 20:24:51.56,  0d 00:06:40.06,0.008,0.075,3.051,8/9/2020 15:17
7153,1,14,  0d 20:25:1.56,  0d 00:06:50.06,0.009,0.075,3.054,8/9/2020 15:18
7154,1,14,  0d 20:25:11.56,  0d 00:07:0.06,0.009,0.075,3.058,8/9/2020 15:18
